人気モバイルゲームでビリオネアに－39歳のシンガポール元公務員;D

仏当局、気候変動巡る銀行ストレステスト実施へ=中銀総裁;D

ストラテジストは日本の話に夢中、来年は日が当たる－投資見通し;E

焦点:韓国電池メーカーが訴訟合戦、世界のEV生産に支障か;D

コラム:日本も気候変動のストレステストを、金融機関の命運左右;A

アングル:合意なき英EU離脱リスク、なお消えない理由;C

中国、香港人権法への報復措置策定に苦慮か－自国への跳ね返り必至で;B

ソフトバンクG出資のオラ、21年度末までのIPO開始目指す=関係筋;C

元「KARA」ハラさんの自殺、リベンジポルノ厳罰論議呼ぶ;E

銀行の自己資本規制強化、中小企業向け融資を阻害せず=FSB;C

JPX清田CEO:東証の市場改革で具体的制度設計へ－数値基準など;C

21億円損失で解雇は不当、仏高裁が認定－元BNPトレーダー逆転勝訴;D

【NY外為】ドル指数、月間ベースで7月以来の大幅上昇;C

コラム:なぜ今、10兆円の大型補正予算なのか=熊野英生氏;C

イラク首相、辞意表明－長期化する反政府活動に屈し;D

香港株、出来高伴い大幅安－臆測飛び交い市場の不安深まる;B

ECB理事2候補がハト派表明、現行の緩和策やマイナス金利支持;C

コラム:米中を分かつ深い溝、香港人権法で露呈;E

米、NATO首脳会議で中国の脅威を提起へ=当局者;C

焦点:イランはなぜアラムコを狙ったのか、サウジ攻撃の内幕;C

NY市場サマリー(29日);D

人気モバイルゲームでビリオネアに－39歳のシンガポール元公務員;D

ドル小幅安、米中交渉巡り警戒 感謝祭明けで動意薄=NY市場;D

中国、香港人権法起草者の入国禁止を検討=人民日報系編集長;C

中国で金融巡り警戒サイン相次ぐ－取り付け騒ぎや公有企業の債務再編;A

ユーロ圏:11月はインフレ加速、ECBの目標にはまだ遠く;D

フランスでは「ブロックフライデー」、アマゾン本部で座り込み抗議;C

米国株は下落、米中通商懸念で軟調地合い 小売株さえず;B

アップル「エアポッド」生産の中国・立訊、株価3倍超に－アジア首位;E

訂正:英総選挙、トランプ氏の不関与が「最善」=ジョンソン首相;C

米ブラックフライデー商戦、話題アイテムは任天堂スイッチやiPhone;D

独ダイムラー、世界で少なくとも1万人削減 「歴史的な変革期」;C

ダイムラー、1万人超の人員削減を計画－人件費14億ユーロ圧縮へ;C

現時点でさらに追加緩和することは考えていない=黒田日銀総裁;B

オランダでも刃物による襲撃、数人負傷－テロ関連でないとANP;D

ユーロ圏インフレ率、11月速報値は前年比+1.0% 予想上回る;C

インド:7－9月成長率は2013年来の低水準、モディ政権に厳しい減速;B

ファーウェイ、米FCCの決定に異議申し立てへ;C

ダイムラー、1万人超の人員削減を計画－人件費14億ユーロ圧縮へ;B

フランスでは「ブロックフライデー」、アマゾン本部で座り込み抗議;D

香港キャセイ、来年は輸送能力1.4%削減 デモで経営環境悪化;B

コラム:米中摩擦緩和なら、中長期的な円安も=亀岡裕次氏;D

【NY外為】ドル指数、月間ベースで7月以来の大幅上昇;C

11月の独失業者数、予想に反して減少;C

日産・ルノー連合、会議体に事務局長設置へ 調整役担う;D

英消費者向け融資、10月は前年比+6.1% 18年半ば以来の伸び加速;B

独伊出身のECB専務理事2候補、市場操作担当の座争う=関係筋;C

アングル:トヨタがMaaSで新展開、「モビリティカンパニー」への試金石;C

第3四半期の仏GDP確報値、前期比+0.3% 家計可処分所得が増加;C

米ブラックフライデー商戦、話題アイテムは任天堂スイッチやiPhone;C

中国、16年以降1300社以上の重金属企業を閉鎖 土壌汚染対策で;C

ECB理事候補の2人、9月の金融緩和策に支持表明－副作用に警戒も;C

ロンドン中心部でテロ、警察が容疑者射殺－刺された2人死亡か;D

11月29日の海外株式・債券・為替・商品市場;D

コラム:ブルームバーグ氏当選なら、ブルームバーグどうなる;D

サウジアラムコIPO、応募倍率1.7倍程度 過熱感なく=幹事行;C

ロンドン中心部でテロ、警察が容疑者射殺－刺された2人死亡か;D

